0, 9
1, 9
2, 20
3, 26
4, 26
5, 26
6, 32
7, 38
8, 38
9, 44
10, 44
11, 41
12, 44
13, 58
14, 58
15, 64
16, 64
17, 70
18, 70
19, 76
20, 76
21, 73
22, 82
23, 90
24, 90
25, 96
26, 96
27, 102
28, 102
29, 108
30, 108
31, 116
32, 116
33, 122
34, 122
35, 128
36, 128
37, 134
38, 136
39, 142
40, 142
41, 148
42, 148
43, 154
44, 154
45, 160
46, 160
47, 166
48, 168
49, 174
50, 174
51, 180
52, 174
53, 186
54, 186
55, 192
56, 194
57, 200
58, 198
59, 206
60, 206
61, 212
62, 212
63, 218
64, 218
65, 224
66, 224
67, 230
68, 230
69, 238
70, 238
71, 244
72, 244
73, 241
74, 252
75, 256
76, 258
77, 253
78, 264
79, 270
80, 270
81, 276
82, 276
83, 282
84, 284
85, 279
86, 288
87, 294
88, 296
89, 302
90, 302
91, 308
92, 308
93, 314
94, 316
95, 322
96, 322
97, 328
98, 322
99, 325
